Gene ID,Genotype,Gender,Parameter,Fatmass,Leanmass,BoneMineralDensity,BoneMineralContent,Bodylength,BMC_Body weight,Lean_Body weight,Fat_Body weight,Bone_Area,Bodyweight
MGI:1914346,Mmachc,M,ACCV_68_356268,6.45,21.47,0.0534,0.4606,9.5,0.0155084,0.722896,0.217172,8.62547,29.69998451
MGI:1915213,Npc2,M,AASM_93_092293,6.261,24.279,0.0545,0.4976,9.6,0.0157468,0.768323,0.198133,9.13028,31.59999115
MGI:1915213,Npc2,M,AASM_94_092294,5.031,24.739,0.0546,0.5118,9.7,0.0164038,0.792917,0.16125,9.37363,31.19998688
MGI:1915671,Lmbrd1,M,AARU_65_072465,3.197,20.313,0.0533,0.4838,9.3,0.0186795,0.784286,0.123436,9.07692,25.89999056
MGI:1915671,Lmbrd1,M,AARU_76_085376,4.241,23.479,0.0548,0.5117,9.8,0.0171711,0.787886,0.142315,9.33759,29.79999645
MGI:1915671,Lmbrd1,M,AARU_74_085374,4.478,24.602,0.0546,0.5378,9.7,0.0176908,0.809276,0.147303,9.84982,30.40001186
MGI:1918992,Ulk3,M,ACWY_74_487174,3.578,22.922,0.052,0.5272,9.5,0.0195259,0.848963,0.132519,10.1385,26.99999882
MGI:2135610,Dync1li1,M,ACTG_87_427987,8.508,24.342,0.0518,0.4474,9.7,0.0135988,0.739878,0.258602,8.63707,32.90001865
MGI:2135610,Dync1li1,M,ACTG_83_424983,5.607,25.033,0.0523,0.4845,9.5,0.016043,0.828907,0.185662,9.26386,30.20001038
MGI:2135610,Dync1li1,M,ACTG_84_424984,6.837,22.633,0.0521,0.4639,9.6,0.0156195,0.762054,0.230202,8.90403,29.69999501
MGI:2449119,A2m,M,ABDJ_89_215989,4.268,19.982,0.0512,0.4352,9.1,0.0173386,0.796096,0.17004,8.5,25.09998794
MGI:2449119,A2m,M,ABDJ_71_204771,6.857,24.743,0.0534,0.487,9.6,0.0153628,0.780536,0.216309,9.11985,31.70001127
MGI:2449119,A2m,M,ABDJ_70_204770,7.413,23.347,0.0525,0.4603,9.6,0.0147061,0.745911,0.236837,8.76762,31.29998083
MGI:2668347,C8a,M,ABHU_143_257443,7.981,24.199,0.0534,0.49,9.8,0.0148936,0.735532,0.242584,9.17603,32.89999619
MGI:2668347,C8a,M,ABHU_145_257445,4.315,21.525,0.0523,0.4701,9.4,0.0171569,0.785584,0.157482,8.98853,27.39999796
MGI:2668347,C8a,M,ABHU_125_233525,5.649,24.721,0.0561,0.5265,10,0.0172059,0.807876,0.184608,9.38503,30.59999307
MGI:87968,Ahcy,M,ABDK_56_180956,5.51,25.1,0.0545,0.5191,9.6,0.0165318,0.799363,0.175478,9.52477,31.40000225
MGI:87968,Ahcy,M,ABDK_57_180957,5.535,23.145,0.0537,0.4911,9.5,0.0168185,0.792637,0.189555,9.14525,29.1999995
MGI:87968,Ahcy,M,ABDK_58_180958,5.728,22.352,0.0535,0.4833,9.5,0.0166655,0.770759,0.197517,9.03364,28.99998573
MGI:88357,Cdk4,M,ABFE_125_206925,5.094,20.126,0.0507,0.4261,9.2,0.0163257,0.771111,0.195172,8.40434,26.10000376
MGI:88357,Cdk4,M,ABFE_132_209532,6.6,20.12,0.0492,0.4228,9.4,0.0152086,0.723741,0.23741,8.5935,27.80000028
MGI:88357,Cdk4,M,ABFE_123_206923,5.196,21.314,0.0524,0.4435,9.4,0.0164259,0.789407,0.192444,8.46374,27.00001393
MGI:891978,Phyh,M,ABIL_83_244183,6.718,22.492,0.054,0.476,9.6,0.0159197,0.752241,0.224682,8.81481,29.89999216
MGI:891978,Phyh,M,ABIL_107_257807,4.102,24.988,0.0543,0.5204,9.6,0.017289,0.830166,0.136279,9.58379,30.1000041
